Code,Title,id
??,ICHI Category,1
??,Health interventions,2
??,Interventions on body systems or functions,3
??,Interventions on the circulatory system,4
??,Interventions on cerebral vessels,5
??.BA.BH,Magnetic resonance angiography of intracranial vessels (proposed),6
??.BA.BI,Magnetic resonance angiography of intracranial vessels with intravenous contrast (proposed),7
IAA,Interventions on intracranial artery,8
IAA.BA.BB,Angiography of intracranial arteries,9
IAA.BA.BC,"CT angiography of intracranial arteries, not elsewhere classified",10
IAA.BA.BD,CT angiography of intracranial arteries with intravenous contrast medium,11
IAA.BA.BH,"Magnetic resonance angiography of intracranial arteries, not elsewhere classified",12
IAA.BA.BI,Magnetic resonance angiography of intracranial arteries with intravenous contrast medium,13
IAA.BA.BJ,Transcranial doppler ultrasound of intracranial arteries,14
IAA.DB.AF,Thrombolysis of intracranial artery,15
IAA.FA.AA,Incision of intracranial artery,16
IAA.JE.AA,"Endarterectomy of intracranial artery, open approach",17
IAA.JE.AF,Endovascular extraction of obstruction from intracranial artery,18
IAA.LA.AA,Occlusion of intracranial artery,19
IAA.LA.AF,Endovascular embolisation or occlusion of intracranial artery,20
IAA.LB.AA,Anastomosis of intracranial artery,21
IAA.LG.AF,Percutaneous transluminal dilatation of intracranial artery,22
IAA.LH.AF,Percutaneous transluminal dilatation with insertion of device into intracranial artery,23
IAA.LI.AF,Percutaneous transluminal intracranial bypass,24
IAA.ML.AA,Reconstruction of intracranial artery,25
IAD,Interventions on intracranial vein,26
IAD.BA,Imaging of intracranial vein,27
IAD.BA.BC,"CT angiography of intracranial veins, not elsewhere classified",28
IAD.BA.BD,CT angiography of intracranial veins with intravenous contrast medium,29
IAD.BA.BH,"Magnetic resonance venography of intracranial vein, not elsewhere classified",30
IAD.BA.BI,Magnetic resonance venography of intracranial vein with intravenous contrast medium,31
HAA,"Interventions on heart, atrium",32
HAA.BA,Interventions on left atrium,33
HAA.BA.BB,Left atrial angiography,34
HAA.JJ.AA,Partial excision of left atrium,35
HAA.JJ.AB,Thoracoscopic excision of left atrial appendage,36
HAA.LA.AA,Occlusion of left atrial appendage,37
HAA.LA.AB,Thoracoscopic occlusion of left atrial appendage,38
HAA.LA.AF,Percutaneous transluminal occlusion of left atrial appendage,39
HAB,Interventions on right atrium,40
HAB.BA.BB,Right atrial angiography,41
HAB.LI.AA,Creation of a conduit between right atrium and pulmonary artery,42
